Batch,Color,Position,Sample Name,Gene Name,Cq,Concentration,Call,Excluded,Sample Type,Standard,Cq Mean,Cq Error,Concentration Mean,Concentration Error,Replicate Group,Dye,Edited Call,Slope,EPF,Failure,Notes,Sample Prep Notes,Number
2,155;67;123;181,A1,Sample 1,None,27.83,-,Positive,Unchecked,Unknown,-,27.83,0,-,-,3,155;67;123;182,A2,Sample 2,None,28.83,-,Positive,Unchecked
2,155;67;123;181,A2,Sample 2,None,25.81,-,Positive,Unchecked,Unknown,-,25.81,0,-,-,,SYBR Green I, ,1.14,4.17,None,,,2
2,155;67;123;181,A3,Sample 3,None,34.97,-,Positive,Unchecked,Unknown,-,34.97,0,-,-,,SYBR Green I, ,0.61,2.39,None,,,3
2,155;67;123;181,A4,Sample 4,None,29.15,-,Positive,Unchecked,Unknown,-,29.15,0,-,-,,SYBR Green I, ,0.89,3.42,None,,,4
2,155;67;123;181,A5,Sample 5,None,31.96,-,Positive,Unchecked,Unknown,-,31.96,0,-,-,,SYBR Green I, ,1.19,4.11,None,,,5
2,155;67;123;181,A6,Sample 6,None,33.31,-,Positive,Unchecked,Unknown,-,33.31,0,-,-,,SYBR Green I, ,1.07,3.88,None,,,6
2,155;67;123;181,A7,Sample 7,None,28.97,-,Positive,Unchecked,Unknown,-,28.97,0,-,-,,SYBR Green I, ,0.69,3.1,None,,,7
2,155;67;123;181,A8,Sample 8,None,26.47,-,Positive,Unchecked,Unknown,-,26.47,0,-,-,,SYBR Green I, ,1.23,4.32,None,,,8
2,155;67;123;181,A9,Sample 9,None,31.89,-,Positive,Unchecked,Unknown,-,31.89,0,-,-,,SYBR Green I, ,0.59,2.65,None,,,9
2,155;67;123;181,A10,Sample 10,None,30.01,-,Positive,Unchecked,Unknown,-,30.01,0,-,-,,SYBR Green I, ,0.91,3.42,None,,,10
2,155;67;123;181,A11,Sample 11,None,34.94,-,Positive,Unchecked,Unknown,-,34.94,0,-,-,,SYBR Green I, ,1.21,4.19,None,,,11
2,155;67;123;181,A12,Sample 12,None,33.89,-,Positive,Unchecked,Unknown,-,33.89,0,-,-,,SYBR Green I, ,1.19,4.03,None,,,12
2,155;67;123;181,B1,Sample 13,None,27.57,-,Positive,Unchecked,Unknown,-,27.57,0,-,-,,SYBR Green I, ,0.81,3.49,None,,,13
2,155;67;123;181,B2,Sample 14,None,25.79,-,Positive,Unchecked,Unknown,-,25.79,0,-,-,,SYBR Green I, ,1,3.85,None,,,14
2,155;67;123;181,B3,Sample 15,None,32.04,-,Positive,Unchecked,Unknown,-,32.04,0,-,-,,SYBR Green I, ,0.58,2.57,None,,,15
2,155;67;123;181,B4,Sample 16,None,29.21,-,Positive,Unchecked,Unknown,-,29.21,0,-,-,,SYBR Green I, ,0.87,3.39,None,,,16
2,155;67;123;181,B5,Sample 17,None,33,-,Positive,Unchecked,Unknown,-,33,0,-,-,,SYBR Green I, ,1.09,4.15,None,,,17
2,155;67;123;181,B6,Sample 18,None,33.75,-,Positive,Unchecked,Unknown,-,33.75,0,-,-,,SYBR Green I, ,1.11,3.89,None,,,18
2,155;67;123;181,B7,Sample 19,None,29.02,-,Positive,Unchecked,Unknown,-,29.02,0,-,-,,SYBR Green I, ,0.71,3.16,None,,,19
2,155;67;123;181,B8,Sample 20,None,26.48,-,Positive,Unchecked,Unknown,-,26.48,0,-,-,,SYBR Green I, ,1.25,4.37,None,,,20
2,155;67;123;181,B9,Sample 21,None,30.91,-,Positive,Unchecked,Unknown,-,30.91,0,-,-,,SYBR Green I, ,0.65,2.93,None,,,21
