Position	Cq
A1	27.83
A2	25.81
A3	34.97
A4	29.15
A5	31.96
A6	33.31
A7	28.97
A8	26.47
A9	31.89
A10	30.01
A11	34.94
A12	33.89
B1	27.57
B2	25.79
B3	32.04
B4	29.21
B5	33
B6	33.75
B7	29.02
B8	26.48
B9	30.91
B10	29.96
B11	33.76
B12	35.68
C1	27.53
C2	25.48
C3	32.29
C4	28.91
C5	34.54
C6	31.18
C7	27.02
C8	24.15
C9	29.19
C10	27.76
C11	29.6
C12	31.59
D1	27.3
D2	25.4
D3	31.22
D4	28.66
D5	32.07
D6	31.21
D7	27.25
D8	23.99
D9	29.37
D10	27.59
D11	30.53
D12	32
E1	28.13
E2	25.6
E3	30.63
E4	28.75
E5	32.45
E6	34.44
E7	27.94
E8	25.12
E9	29.36
E10	28.39
E11	32.08
E12	34.67
F1	27.87
F2	26.13
F3	31.37
F4	28.96
F5	32.91
F6	33.46
F7	27.49
F8	25.03
F9	30
F10	28.57
F11	31.87
F12	32.98
G1	27.97
G2	25.65
G3	31.18
G4	29.33
G5	31.52
G6	31.15
G7	27.02
G8	24.54
G9	28.38
G10	28.92
G11	30.48
G12	31.8
H1	28.2
H2	25.44
H3	31.09
H4	28.77
H5	30.6
H6	31.15
H7	26.85
H8	24.33
H9	29.11
H10	28.6
H11	30.79
H12	31.88
