Gene	Formula	Slope	Intercept	R2	P.value	max.Cq	min.Cq	Date
OsGns1	RC = -0.97xCq + 31.95	-0.97	31.95	0.9992	0	30.84	20.53	2021-11-11
OsUBQ	RC = -0.9xCq + 32.04	-0.9	32.04	0.9992	0	33.24	22.25	2021-11-11
OsWRKY71	RC = -0.98xCq + 30.77	-0.98	30.77	0.9999	0	29.48	19.12	2021-11-11
OSPOX8	RC = -0.91xCq + 34.48	-0.91	34.48	0.999	0	36.08	24.8	2021-11-11
OsWAK91	RC = -0.91xCq + 36.77	-0.91	36.77	0.9954	0	34.75	27.12	2021-11-11
OsPR10	RC = -0.99xCq + 41.22	-0.99	41.22	0.9695	0	36.3	29.39	2021-11-11
OsRBBI2	RC = -0.79xCq + 31.99	-0.79	31.99	0.9989	0	36.49	25.3	2021-11-11
OsCeBip	RC = -0.96xCq + 38.11	-0.96	38.11	0.9542	0	36.53	27.94	2021-11-11
OsPOX223	RC = -1.01xCq + 35.04	-1.01	35.04	0.9996	0	33.07	22.78	2021-11-11
OsPAL	RC = -0.86xCq + 31.96	-0.86	31.96	0.9998	0	35.02	23.01	2021-11-11
OsAPX1	RC = -0.97xCq + 31.74	-0.97	31.74	0.9999	0	30.78	20.31	2021-11-11
OsAPX2	RC = -0.87xCq + 31.16	-0.87	31.16	0.9942	0	35.42	22.11	2021-11-11
