Position	Group	Gene	BioRep	TechRep	Eff
A1	CK	OSPOX8	1	1	1.96
A2	CK	OsUBQ	1	1	1.77
A3	CK	OsWAK91	1	1	2.2
A4	CK	OsRBBI2	1	1	1.93
A5	CK	OsCeBip	1	1	1.83
A6	CK	OsPR10	1	1	1.87
A7	Treatment	OSPOX8	1	1	1.96
A8	Treatment	OsUBQ	1	1	1.77
A9	Treatment	OsWAK91	1	1	2.2
A10	Treatment	OsRBBI2	1	1	1.93
A11	Treatment	OsCeBip	1	1	1.83
A12	Treatment	OsPR10	1	1	1.87
B1	CK	OSPOX8	1	2	1.96
B2	CK	OsUBQ	1	2	1.77
B3	CK	OsWAK91	1	2	2.2
B4	CK	OsRBBI2	1	2	1.93
B5	CK	OsCeBip	1	2	1.83
B6	CK	OsPR10	1	2	1.87
B7	Treatment	OSPOX8	1	2	1.96
B8	Treatment	OsUBQ	1	2	1.77
B9	Treatment	OsWAK91	1	2	2.2
B10	Treatment	OsRBBI2	1	2	1.93
B11	Treatment	OsCeBip	1	2	1.83
B12	Treatment	OsPR10	1	2	1.87
C1	CK	OSPOX8	2	1	1.96
C2	CK	OsUBQ	2	1	1.77
C3	CK	OsWAK91	2	1	2.2
C4	CK	OsRBBI2	2	1	1.93
C5	CK	OsCeBip	2	1	1.83
C6	CK	OsPR10	2	1	1.87
C7	Treatment	OSPOX8	2	1	1.96
C8	Treatment	OsUBQ	2	1	1.77
C9	Treatment	OsWAK91	2	1	2.2
C10	Treatment	OsRBBI2	2	1	1.93
C11	Treatment	OsCeBip	2	1	1.83
C12	Treatment	OsPR10	2	1	1.87
D1	CK	OSPOX8	2	2	1.96
D2	CK	OsUBQ	2	2	1.77
D3	CK	OsWAK91	2	2	2.2
D4	CK	OsRBBI2	2	2	1.93
D5	CK	OsCeBip	2	2	1.83
D6	CK	OsPR10	2	2	1.87
D7	Treatment	OSPOX8	2	2	1.96
D8	Treatment	OsUBQ	2	2	1.77
D9	Treatment	OsWAK91	2	2	2.2
D10	Treatment	OsRBBI2	2	2	1.93
D11	Treatment	OsCeBip	2	2	1.83
D12	Treatment	OsPR10	2	2	1.87
E1	CK	OSPOX8	3	1	1.96
E2	CK	OsUBQ	3	1	1.77
E3	CK	OsWAK91	3	1	2.2
E4	CK	OsRBBI2	3	1	1.93
E5	CK	OsCeBip	3	1	1.83
E6	CK	OsPR10	3	1	1.87
E7	Treatment	OSPOX8	3	1	1.96
E8	Treatment	OsUBQ	3	1	1.77
E9	Treatment	OsWAK91	3	1	2.2
E10	Treatment	OsRBBI2	3	1	1.93
E11	Treatment	OsCeBip	3	1	1.83
E12	Treatment	OsPR10	3	1	1.87
F1	CK	OSPOX8	3	2	1.96
F2	CK	OsUBQ	3	2	1.77
F3	CK	OsWAK91	3	2	2.2
F4	CK	OsRBBI2	3	2	1.93
F5	CK	OsCeBip	3	2	1.83
F6	CK	OsPR10	3	2	1.87
F7	Treatment	OSPOX8	3	2	1.96
F8	Treatment	OsUBQ	3	2	1.77
F9	Treatment	OsWAK91	3	2	2.2
F10	Treatment	OsRBBI2	3	2	1.93
F11	Treatment	OsCeBip	3	2	1.83
F12	Treatment	OsPR10	3	2	1.87
G1	CK	OSPOX8	4	1	1.96
G2	CK	OsUBQ	4	1	1.77
G3	CK	OsWAK91	4	1	2.2
G4	CK	OsRBBI2	4	1	1.93
G5	CK	OsCeBip	4	1	1.83
G6	CK	OsPR10	4	1	1.87
G7	Treatment	OSPOX8	4	1	1.96
G8	Treatment	OsUBQ	4	1	1.77
G9	Treatment	OsWAK91	4	1	2.2
G10	Treatment	OsRBBI2	4	1	1.93
G11	Treatment	OsCeBip	4	1	1.83
G12	Treatment	OsPR10	4	1	1.87
H1	CK	OSPOX8	4	2	1.96
H2	CK	OsUBQ	4	2	1.77
H3	CK	OsWAK91	4	2	2.2
H4	CK	OsRBBI2	4	2	1.93
H5	CK	OsCeBip	4	2	1.83
H6	CK	OsPR10	4	2	1.87
H7	Treatment	OSPOX8	4	2	1.96
H8	Treatment	OsUBQ	4	2	1.77
H9	Treatment	OsWAK91	4	2	2.2
H10	Treatment	OsRBBI2	4	2	1.93
H11	Treatment	OsCeBip	4	2	1.83
H12	Treatment	OsPR10	4	2	1.87
