Position	Cq
A1	27.26
A2	27.1
A3	27.47
A4	21.2
A5	21.11
A6	21.06
A7	17.63
A8	17.670000000000002
A9	17.73
A10	22.53
A11	22.51
A12	22.89
B1	27.41
B2	27.33
B3	27.42
B4	22.36
B5	22.31
B6	22.35
B7	19.79
B8	19.59
B9	19.649999999999999
B10	22.13
B11	22.06
B12	22.12
C1	29.7
C2	29.52
C3	29.22
C4	24.5
C5	24.5
C6	24.66
C7	22.37
C8	22.07
C9	22.26
C10	24.27
C11	24.42
C12	24.52
D1	31.43
D2	31.11
D3	31.4
D4	26.52
D5	26.62
D6	26.68
D7	24.42
D8	24.47
D9	24.38
D10	26.58
D11	26.77
D12	26.8
E1	33.93
E2	33.729999999999997
E3	33.79
E4	28.6
E5	29
E6	28.98
E7	26.91
E8	26.9
E9	26.8
E10	28.62
E11	28.92
E12	29.15
F1	39.82
F2	40
F3	40
F4	30.79
F5	30.85
F6	30.15
F7	28.69
F8	28.83
F9	28.77
F10	31.07
F11	31.17
F12	31.17
G1	35
G2	35.29
G3	35
G4	32.25
G5	33.89
G6	32.6
G7	31.39
G8	30.63
G9	30.91
G10	32.840000000000003
G11	32.99
G12	33.44
H1	36
H2	36
H3	36
H4	34.590000000000003
H5	38
H6	37.840000000000003
H7	37.950000000000003
H8	38
H9	36.25
H10	36
H11	36.03
H12	35.369999999999997
