Position	Gene	Conc
A1	Gene1	16384
A2	Gene1	16384
A3	Gene1	16384
A4	Gene2	16384
A5	Gene2	16384
A6	Gene2	16384
A7	Gene3	16384
A8	Gene3	16384
A9	Gene3	16384
A10	Gene4	16384
A11	Gene4	16384
A12	Gene4	16384
B1	Gene1	4096
B2	Gene1	4096
B3	Gene1	4096
B4	Gene2	4096
B5	Gene2	4096
B6	Gene2	4096
B7	Gene3	4096
B8	Gene3	4096
B9	Gene3	4096
B10	Gene4	4096
B11	Gene4	4096
B12	Gene4	4096
C1	Gene1	1024
C2	Gene1	1024
C3	Gene1	1024
C4	Gene2	1024
C5	Gene2	1024
C6	Gene2	1024
C7	Gene3	1024
C8	Gene3	1024
C9	Gene3	1024
C10	Gene4	1024
C11	Gene4	1024
C12	Gene4	1024
D1	Gene1	256
D2	Gene1	256
D3	Gene1	256
D4	Gene2	256
D5	Gene2	256
D6	Gene2	256
D7	Gene3	256
D8	Gene3	256
D9	Gene3	256
D10	Gene4	256
D11	Gene4	256
D12	Gene4	256
E1	Gene1	64
E2	Gene1	64
E3	Gene1	64
E4	Gene2	64
E5	Gene2	64
E6	Gene2	64
E7	Gene3	64
E8	Gene3	64
E9	Gene3	64
E10	Gene4	64
E11	Gene4	64
E12	Gene4	64
F1	Gene1	16
F2	Gene1	16
F3	Gene1	16
F4	Gene2	16
F5	Gene2	16
F6	Gene2	16
F7	Gene3	16
F8	Gene3	16
F9	Gene3	16
F10	Gene4	16
F11	Gene4	16
F12	Gene4	16
G1	Gene1	4
G2	Gene1	4
G3	Gene1	4
G4	Gene2	4
G5	Gene2	4
G6	Gene2	4
G7	Gene3	4
G8	Gene3	4
G9	Gene3	4
G10	Gene4	4
G11	Gene4	4
G12	Gene4	4
H1	Gene1	1
H2	Gene1	1
H3	Gene1	1
H4	Gene2	1
H5	Gene2	1
H6	Gene2	1
H7	Gene3	1
H8	Gene3	1
H9	Gene3	1
H10	Gene4	1
H11	Gene4	1
H12	Gene4	1
