sample	concentration	A260 (Abs)	A280 (Abs)	260/280	260/230	SampleType	Factor
CK	0.1	ng/¦Ìl	0.003	0.009	0.41	RNA	40
CK	-0.2	ng/¦Ìl	-0.004	0.008	-0.47	RNA	40
CK	-0.2	ng/¦Ìl	-0.004	-0.001	6.72	RNA	40
1	160	ng/¦Ìl	3.999	2.215	1.81	RNA	40
1	160.7	ng/¦Ìl	4.017	2.242	1.79	RNA	40
1	160.5	ng/¦Ìl	4.012	2.235	1.8	RNA	40
2	163.4	ng/¦Ìl	4.086	2.283	1.79	RNA	40
2	163	ng/¦Ìl	4.074	2.276	1.79	RNA	40
2	163.6	ng/¦Ìl	4.089	2.283	1.79	RNA	40
3	181.8	ng/¦Ìl	4.544	2.548	1.78	RNA	40
3	182.7	ng/¦Ìl	4.569	2.563	1.78	RNA	40
3	183.2	ng/¦Ìl	4.581	2.571	1.78	RNA	40
4	202.4	ng/¦Ìl	5.059	2.781	1.82	RNA	40
4	204.8	ng/¦Ìl	5.12	2.822	1.81	RNA	40
4	204.2	ng/¦Ìl	5.106	2.81	1.82	RNA	40
5	180.6	ng/¦Ìl	4.516	2.498	1.81	RNA	40
5	181.2	ng/¦Ìl	4.531	2.513	1.8	RNA	40
5	178.6	ng/¦Ìl	4.464	2.463	1.81	RNA	40
6	171.2	ng/¦Ìl	4.28	2.383	1.8	RNA	40
6	171.4	ng/¦Ìl	4.285	2.388	1.79	RNA	40
6	172.9	ng/¦Ìl	4.323	2.412	1.79	RNA	40
7	174.4	ng/¦Ìl	4.361	2.413	1.81	RNA	40
7	174.6	ng/¦Ìl	4.365	2.418	1.81	RNA	40
7	173.3	ng/¦Ìl	4.334	2.397	1.81	RNA	40
8	233.3	ng/¦Ìl	5.832	3.293	1.77	RNA	40
8	233.3	ng/¦Ìl	5.831	3.297	1.77	RNA	40
8	234.3	ng/¦Ìl	5.858	3.311	1.77	RNA	40
