Position,Cq
B16,38.07
B22,33.68
B10,33.01
B4,30.3
C22,28.71
D24,28.11
B23,27.78
C10,27.69
B11,27.63
C24,27.12
C23,27.04
C11,26.33
A24,26.2
B21,26.17
D22,26.04
D19,25.97
B24,25.86
A20,25.76
D21,25.72
A21,25.68
A8,25.56
A19,25.49
B20,25.31
D23,25.06
A9,24.96
C12,24.76
A23,24.68
A11,24.56
D12,24.46
B19,24.34
C20,24.31
D10,24.29
B12,24.12
A22,24.1
B7,24.09
D7,23.8
C8,23.63
A7,23.62
A10,23.58
B9,23.29
D18,23.28
C18,23.09
B17,23
A12,22.74
C17,22.71
D11,22.71
A18,22.37
D20,22.34
C16,22.32
C14,22.22
B15,22.21
D13,22.2
D9,22.17
A13,22.16
A17,22.16
B14,21.88
B13,21.85
A16,21.84
C21,21.71
C19,21.7
D15,21.67
B18,21.65
C7,21.51
B8,21.23
D8,21.13
A15,21.09
D16,21.01
D17,21
A14,19.99
D14,19.95
C13,19.79
C9,19.25
C15,18.72
C2,18.58
A1,18.49
A4,18.33
D6,18.28
C6,18.13
D5,17.73
B5,17.68
C4,17.67
C1,17.48
A3,17.31
B3,17.3
A6,17.09
B6,17.07
B2,16.89
D2,16.81
B1,16.63
D4,16.53
D3,16.49
C5,16.32
C3,16.31
D1,16.23
A2,16.16
A5,16.14
