Position,Group,Gene,BioRep
A1,15,Actin,1
A2,15,Actin,3
A3,15,Actin,5
A4,49,Actin,1
A5,49,Actin,3
A6,49,Actin,5
A7,15,Pr1b,1
A8,15,Pr1b,3
A9,15,Pr1b,5
A10,49,Pr1b,1
A11,49,Pr1b,3
A12,49,Pr1b,5
A13,15,PBZ1,1
A14,15,PBZ1,3
A15,15,PBZ1,5
A16,49,PBZ1,1
A17,49,PBZ1,3
A18,49,PBZ1,5
A19,15,CHI,1
A20,15,CHI,3
A21,15,CHI,5
A22,49,CHI,1
A23,49,CHI,3
A24,49,CHI,5
B1,15,Actin,2
B2,15,Actin,4
B3,15,Actin,6
B4,49,Actin,2
B5,49,Actin,4
B6,49,Actin,6
B7,15,Pr1b,2
B8,15,Pr1b,4
B9,15,Pr1b,6
B10,49,Pr1b,2
B11,49,Pr1b,4
B12,49,Pr1b,6
B13,15,PBZ1,2
B14,15,PBZ1,4
B15,15,PBZ1,6
B16,49,PBZ1,2
B17,49,PBZ1,4
B18,49,PBZ1,6
B19,15,CHI,2
B20,15,CHI,4
B21,15,CHI,6
B22,49,CHI,2
B23,49,CHI,4
B24,49,CHI,6
C1,69,Actin,1
C2,69,Actin,3
C3,69,Actin,5
C4,87,Actin,1
C5,87,Actin,3
C6,87,Actin,5
C7,69,Pr1b,1
C8,69,Pr1b,3
C9,69,Pr1b,5
C10,87,Pr1b,1
C11,87,Pr1b,3
C12,87,Pr1b,5
C13,69,PBZ1,1
C14,69,PBZ1,3
C15,69,PBZ1,5
C16,87,PBZ1,1
C17,87,PBZ1,3
C18,87,PBZ1,5
C19,69,CHI,1
C20,69,CHI,3
C21,69,CHI,5
C22,87,CHI,1
C23,87,CHI,3
C24,87,CHI,5
D1,69,Actin,2
D2,69,Actin,4
D3,69,Actin,6
D4,87,Actin,2
D5,87,Actin,4
D6,87,Actin,6
D7,69,Pr1b,2
D8,69,Pr1b,4
D9,69,Pr1b,6
D10,87,Pr1b,2
D11,87,Pr1b,4
D12,87,Pr1b,6
D13,69,PBZ1,2
D14,69,PBZ1,4
D15,69,PBZ1,6
D16,87,PBZ1,2
D17,87,PBZ1,4
D18,87,PBZ1,6
D19,69,CHI,2
D20,69,CHI,4
D21,69,CHI,6
D22,87,CHI,2
D23,87,CHI,4
D24,87,CHI,6
