Position	Group	Gene	BioRep
A1	CK	OSPOX8	1
A2	CK	OsUBQ	1
A3	CK	OsWAK91	1
A4	CK	OsRBBI2	1
A5	CK	OsCeBip	1
A6	CK	OsPR10	1
A7	Treatment	OSPOX8	1
A8	Treatment	OsUBQ	1
A9	Treatment	OsWAK91	1
A10	Treatment	OsRBBI2	1
A11	Treatment	OsCeBip	1
A12	Treatment	OsPR10	1
B1	CK	OSPOX8	1
B2	CK	OsUBQ	1
B3	CK	OsWAK91	1
B4	CK	OsRBBI2	1
B5	CK	OsCeBip	1
B6	CK	OsPR10	1
B7	Treatment	OSPOX8	1
B8	Treatment	OsUBQ	1
B9	Treatment	OsWAK91	1
B10	Treatment	OsRBBI2	1
B11	Treatment	OsCeBip	1
B12	Treatment	OsPR10	1
C1	CK	OSPOX8	2
C2	CK	OsUBQ	2
C3	CK	OsWAK91	2
C4	CK	OsRBBI2	2
C5	CK	OsCeBip	2
C6	CK	OsPR10	2
C7	Treatment	OSPOX8	2
C8	Treatment	OsUBQ	2
C9	Treatment	OsWAK91	2
C10	Treatment	OsRBBI2	2
C11	Treatment	OsCeBip	2
C12	Treatment	OsPR10	2
D1	CK	OSPOX8	2
D2	CK	OsUBQ	2
D3	CK	OsWAK91	2
D4	CK	OsRBBI2	2
D5	CK	OsCeBip	2
D6	CK	OsPR10	2
D7	Treatment	OSPOX8	2
D8	Treatment	OsUBQ	2
D9	Treatment	OsWAK91	2
D10	Treatment	OsRBBI2	2
D11	Treatment	OsCeBip	2
D12	Treatment	OsPR10	2
E1	CK	OSPOX8	3
E2	CK	OsUBQ	3
E3	CK	OsWAK91	3
E4	CK	OsRBBI2	3
E5	CK	OsCeBip	3
E6	CK	OsPR10	3
E7	Treatment	OSPOX8	3
E8	Treatment	OsUBQ	3
E9	Treatment	OsWAK91	3
E10	Treatment	OsRBBI2	3
E11	Treatment	OsCeBip	3
E12	Treatment	OsPR10	3
F1	CK	OSPOX8	3
F2	CK	OsUBQ	3
F3	CK	OsWAK91	3
F4	CK	OsRBBI2	3
F5	CK	OsCeBip	3
F6	CK	OsPR10	3
F7	Treatment	OSPOX8	3
F8	Treatment	OsUBQ	3
F9	Treatment	OsWAK91	3
F10	Treatment	OsRBBI2	3
F11	Treatment	OsCeBip	3
F12	Treatment	OsPR10	3
G1	CK	OSPOX8	4
G2	CK	OsUBQ	4
G3	CK	OsWAK91	4
G4	CK	OsRBBI2	4
G5	CK	OsCeBip	4
G6	CK	OsPR10	4
G7	Treatment	OSPOX8	4
G8	Treatment	OsUBQ	4
G9	Treatment	OsWAK91	4
G10	Treatment	OsRBBI2	4
G11	Treatment	OsCeBip	4
G12	Treatment	OsPR10	4
H1	CK	OSPOX8	4
H2	CK	OsUBQ	4
H3	CK	OsWAK91	4
H4	CK	OsRBBI2	4
H5	CK	OsCeBip	4
H6	CK	OsPR10	4
H7	Treatment	OSPOX8	4
H8	Treatment	OsUBQ	4
H9	Treatment	OsWAK91	4
H10	Treatment	OsRBBI2	4
H11	Treatment	OsCeBip	4
H12	Treatment	OsPR10	4
